source,split,z_bin,threshold,n_lesion,n_over_threshold
real,test,0,0,0,0
real,test,0,50,0,0
real,test,0,60,0,0
real,test,0,75,0,0
real,test,0,80,0,0
real,test,0,90,0,0
real,test,0,100,0,0
real,test,1,0,1,1
real,test,1,50,1,0
real,test,1,60,1,0
real,test,1,75,1,0
real,test,1,80,1,0
real,test,1,90,1,0
real,test,1,100,1,0
real,test,2,0,2,2
real,test,2,50,2,0
real,test,2,60,2,0
real,test,2,75,2,0
real,test,2,80,2,0
real,test,2,90,2,0
real,test,2,100,2,0
real,test,3,0,3,3
real,test,3,50,3,0
real,test,3,60,3,0
real,test,3,75,3,0
real,test,3,80,3,0
real,test,3,90,3,0
real,test,3,100,3,0
real,test,4,0,3,3
real,test,4,50,3,2
real,test,4,60,3,1
real,test,4,75,3,1
real,test,4,80,3,0
real,test,4,90,3,0
real,test,4,100,3,0
real,test,5,0,5,5
real,test,5,50,5,2
real,test,5,60,5,2
real,test,5,75,5,2
real,test,5,80,5,2
real,test,5,90,5,1
real,test,5,100,5,0
real,test,6,0,11,11
real,test,6,50,11,3
real,test,6,60,11,3
real,test,6,75,11,3
real,test,6,80,11,3
real,test,6,90,11,3
real,test,6,100,11,3
real,test,7,0,8,8
real,test,7,50,8,3
real,test,7,60,8,3
real,test,7,75,8,3
real,test,7,80,8,3
real,test,7,90,8,2
real,test,7,100,8,2
real,test,8,0,8,8
real,test,8,50,8,4
real,test,8,60,8,4
real,test,8,75,8,4
real,test,8,80,8,4
real,test,8,90,8,4
real,test,8,100,8,4
real,test,9,0,8,8
real,test,9,50,8,4
real,test,9,60,8,4
real,test,9,75,8,4
real,test,9,80,8,4
real,test,9,90,8,4
real,test,9,100,8,4
real,test,10,0,9,9
real,test,10,50,9,6
real,test,10,60,9,5
real,test,10,75,9,5
real,test,10,80,9,4
real,test,10,90,9,4
real,test,10,100,9,4
real,test,11,0,6,6
real,test,11,50,6,2
real,test,11,60,6,2
real,test,11,75,6,2
real,test,11,80,6,2
real,test,11,90,6,2
real,test,11,100,6,2
real,test,12,0,7,7
real,test,12,50,7,3
real,test,12,60,7,2
