split,zbin,lesion_present,domain,n_slices,mean_brain_frac,mean_intensity,std_intensity,mean_lesion_area_px
train,0,0,control,144,0.07584847344292535,0.669842552807596,0.2527323877438903,
train,0,0,epilepsy,161,0.07536325395477485,0.6826048374916456,0.2508099099493915,
train,0,1,epilepsy,3,0.07421875,0.6784890492757162,0.2549306054910024,9.666666666666666
train,1,0,control,96,0.0900115966796875,0.6178604681044817,0.26085340821494657,
train,1,0,epilepsy,110,0.09026988636363636,0.6468321732499382,0.24803212027658117,
train,1,1,epilepsy,2,0.08892822265625,0.6233401298522949,0.27891141176223755,16.5
train,2,0,control,96,0.09863090515136719,0.5786387318124374,0.27187936706468463,
train,2,0,epilepsy,110,0.09920099431818181,0.622758056900718,0.25120825483040377,
train,2,1,epilepsy,2,0.099334716796875,0.5592185258865356,0.2906746417284012,25.0
train,3,0,control,144,0.12557178073459202,0.5816877314613925,0.28498745368172723,
train,3,0,epilepsy,165,0.12067982066761364,0.6295259251739039,0.2691671269409584,
train,3,1,epilepsy,3,0.13108317057291666,0.5553405284881592,0.30486369132995605,45.666666666666664
train,4,0,control,96,0.18105634053548178,0.590259263291955,0.31610677919040125,
train,4,0,epilepsy,110,0.15965132279829544,0.6285241457549009,0.3032258602705869,
train,4,1,epilepsy,2,0.18817138671875,0.5713533461093903,0.3273075819015503,64.0
train,5,0,control,96,0.2082207997639974,0.6035679914057255,0.33028860793759424,
train,5,0,epilepsy,108,0.20794056080005788,0.6228929609060287,0.32890463923966445,
train,5,1,epilepsy,4,0.213531494140625,0.6114959418773651,0.3200906291604042,34.75
train,6,0,control,144,0.2650231255425347,0.5939142964780331,0.38845314230355954,
train,6,0,epilepsy,160,0.26385154724121096,0.602944765985012,0.38697236552834513,
train,6,1,epilepsy,8,0.27075958251953125,0.6142469570040703,0.3952312581241131,38.0
train,7,0,control,96,0.30619176228841144,0.5996099592496952,0.34883579549690086,
train,7,0,epilepsy,106,0.3074156563237028,0.6097502236096364,0.34977597701099683,
train,7,1,epilepsy,6,0.306854248046875,0.6368288894494375,0.34697768092155457,38.333333333333336
train,8,0,control,96,0.3279247283935547,0.6038066459198793,0.3222112876052658,
train,8,0,epilepsy,103,0.32896467782918687,0.6273526491470707,0.3146641234171043,
train,8,1,epilepsy,9,0.32965087890625,0.6600247157944573,0.2951522138383653,35.77777777777778
train,9,0,control,96,0.33818689982096356,0.6003724249700705,0.31040948039541644,
train,9,0,epilepsy,99,0.3389633641098485,0.6274115599767126,0.3013098829924458,
train,9,1,epilepsy,13,0.34110201322115385,0.6523764729499817,0.28798988461494446,39.38461538461539
train,10,0,control,144,0.3453169928656684,0.5856331123246087,0.3069144959251086,
